Time;Type;Aux temp;FPA temp;ROI values from Lepton;ROI from Lepton;ROI set to Lepton;Last FFC
1606568213;Forehead;2.859.000.015.258.780;28.579.999.923.706.000;"(27.960000000000036, 32.99000000000001, 20.24000000000001, 70)";"(10, 46, 16, 55)";"((46, 10), (55, 16))";
1606568240;Forehead;28.760.000.228.881.800;28.719.999.313.354.400;"(26.32000000000005, 33.360000000000014, 19.930000000000007, 70)";"(12, 35, 17, 44)";"((35, 12), (44, 17))";
1606569729;Forehead;29.040000915527344;29.06999969482422;(23.100000000000023, 25.129999999999995, 21.54000000000002, 4);(24, 41, 30, 51);((41, 24), (51, 30))
1606569748;Forehead;29.31999969482422;29.239999771118164;(30.730000000000018, 33.58000000000004, 21.210000000000036, 77);(20, 44, 26, 53);((44, 20), (53, 26))
1606569765;Forehead;29.540000915527344;29.399999618530273;(29.980000000000018, 32.80000000000001, 25.24000000000001, 70);(21, 43, 27, 53);((43, 21), (53, 27))
1606569781;Forehead;29.719999313354492;29.549999237060547;(30.74000000000001, 32.700000000000045, 21.090000000000032, 77);(21, 43, 27, 53);((43, 21), (53, 27))
1606569858;Forehead;29.5;29.489999771118164;(31.939999999999998, 33.52000000000004, 24.80000000000001, 77);(21, 38, 36, 50);((38, 21), (50, 36))
1606569882;Forehead;29.700000762939453;29.610000610351562;(28.0, 33.07000000000005, 20.0, 208);(22, 39, 31, 49);((39, 22), (49, 31))
1606569902;Forehead;29.8700008392334;29.75;(27.860000000000014, 32.660000000000025, 20.32000000000005, 110);(27, 38, 32, 48);((38, 27), (48, 32))
1606569917;Forehead;30.020000457763672;29.860000610351562;(29.52000000000004, 32.26000000000005, 20.58000000000004, 66);(27, 39, 33, 49);((39, 27), (49, 33))
1606569931;Forehead;30.18000030517578;29.959999084472656;(30.430000000000007, 32.22000000000003, 23.879999999999995, 77);(28, 40, 33, 50);((40, 28), (50, 33))
